n, genA_recur, genA_iter
887, 1017951, 951594
888, 1012959, 949802
889, 1013485, 1061644
890, 1118483, 952099
891, 992747, 933805
892, 1039588, 1016465
893, 2020387, 1138986
894, 1024630, 962224
895, 1034123, 968112
896, 1008109, 965648
897, 1039112, 1020513
898, 1015669, 976053
899, 1010029, 965560
900, 1014258, 988455
901, 978921, 961557
902, 990450, 951526
903, 978117, 953259
904, 1098533, 955753
905, 975385, 1012994
906, 1011529, 964541
907, 983175, 962048
908, 980016, 971441
909, 985788, 1001251
910, 1018682, 968928
911, 997825, 972796
912, 968146, 922844
913, 918885, 883877
914, 887236, 904969
915, 883875, 855993
916, 869081, 858087
917, 867855, 861967
918, 870418, 862186
919, 951851, 867996
920, 873975, 865791
921, 878074, 867302
922, 878755, 869971
923, 877513, 963363
924, 886503, 876654
925, 880283, 874458
926, 879633, 876773
927, 882894, 878950
928, 940547, 888096
929, 886017, 883984
930, 882568, 884456
931, 885440, 887477
932, 886204, 944855
933, 890611, 892880
934, 890564, 894936
935, 900363, 894500
936, 889162, 895261
937, 969271, 975276
938, 903807, 900365
939, 896917, 902012
940, 897172, 902676
941, 899233, 923922
942, 931228, 944969
943, 902961, 908735
944, 899660, 911314
945, 900262, 915576
946, 996232, 915553
947, 907223, 917201
948, 906137, 918470
949, 904132, 921169
950, 907868, 967164
951, 915289, 924876
952, 1006619, 930046
953, 922354, 933045
954, 926830, 931053
955, 937846, 944150
956, 926388, 936192
957, 914053, 942243
958, 925326, 938118
959, 930048, 967349
960, 933089, 973281
961, 930787, 954177
962, 922667, 950965
963, 976411, 958546
964, 932893, 952108
965, 916986, 962439
966, 925821, 959284
967, 940175, 958405
968, 983578, 961068
969, 985030, 965121
970, 944221, 963041
971, 956360, 974623
972, 951452, 969343
973, 939459, 967735
974, 927259, 972661
975, 979501, 972158
976, 934723, 983516
977, 959708, 987867
978, 957132, 980223
979, 953368, 985919
980, 990061, 983914
981, 965985, 984092
982, 951583, 987712
983, 949317, 1003973
984, 957395, 992373
985, 979299, 998179
986, 979155, 996776
987, 964121, 1002800
988, 977689, 1003233
989, 1030052, 1055565
990, 977606, 1010402
991, 998899, 1013595
992, 1011297, 1078529
993, 1060961, 1163468
994, 1116969, 1127143
995, 1084933, 1178703
996, 1109493, 1237927
997, 1164679, 1175607
998, 1110698, 1187067
999, 1296144, 1193420
